        0.1000000015,     1300.0000000000,    -3535.1260445164,       -9.1139965333
        0.1000000015,     1310.0000000000,    -3465.8841713115,       -7.1772034498
        0.1000000015,     1320.0000000000,    -3397.4083969223,       -5.8864425833
        0.1000000015,     1330.0000000000,    -3329.6843388075,       -4.9648392036
        0.1000000015,     1340.0000000000,    -3262.6979903216,       -4.2739559000
        0.1000000015,     1350.0000000000,    -3196.4357081721,       -3.7368830117
        0.1000000015,     1360.0000000000,    -3130.8842003849,       -3.3074747705
        0.1000000015,     1370.0000000000,    -3066.0305147529,       -2.9563657206
        0.1000000015,     1380.0000000000,    -3001.8620277464,       -2.6639789239
        0.1000000015,     1390.0000000000,    -2938.3664338620,       -2.4167611470
        0.1000000015,     1400.0000000000,    -2875.5317353911,       -2.2050315377
        0.1000000015,     1410.0000000000,    -2813.3462325875,       -2.0216908317
        0.1000000015,     1420.0000000000,    -2751.7985142167,       -1.8614146056
        0.1000000015,     1430.0000000000,    -2690.8774484685,       -1.7201312646
        0.1000000015,     1440.0000000000,    -2630.5721742182,       -1.5946740344
        0.1000000015,     1450.0000000000,    -2570.8720926181,       -1.4825428497
        0.1000000015,     1460.0000000000,    -2511.7668590076,       -1.3817376769
        0.1000000015,     1470.0000000000,    -2453.2463751256,       -1.2906394585
        0.1000000015,     1480.0000000000,    -2395.3007816121,       -1.2079235270
        0.1000000015,     1490.0000000000,    -2337.9204507883,       -1.1324956071
        0.1000000015,     1500.0000000000,    -2281.0959797004,       -1.0634438167
        0.1000000015,     1510.0000000000,    -2224.8181834176,       -1.0000021883
        0.1000000015,     1520.0000000000,    -2169.0780885727,       -0.9415226079
        0.1000000015,     1530.0000000000,    -2113.8669271356,       -0.8874529899
        0.1000000015,     1540.0000000000,    -2059.1761304085,       -0.8373201296
        0.1000000015,     1550.0000000000,    -2004.9973232353,       -0.7907161021
        0.1000000015,     1560.0000000000,    -1951.3223184146,       -0.7472873823
        0.1000000015,     1570.0000000000,    -1898.1431113094,       -0.7067260708
        0.1000000015,     1580.0000000000,    -1845.4518746438,       -0.6687627644
        0.1000000015,     1590.0000000000,    -1793.2409534802,       -0.6331607234
        0.1000000015,     1600.0000000000,    -1741.5028603698,       -0.5997110675
        0.1000000015,     1610.0000000000,    -1690.2302706680,       -0.5682287963
        0.1000000015,     1620.0000000000,    -1639.4160180098,       -0.5385494723
        0.1000000015,     1630.0000000000,    -1589.0530899371,       -0.5105264417
        0.1000000015,     1640.0000000000,    -1539.1346236742,       -0.4840284947
        0.1000000015,     1650.0000000000,    -1489.6539020426,       -0.4589378851
        0.1000000015,     1660.0000000000,    -1440.6043495122,       -0.4351486473
        0.1000000015,     1670.0000000000,    -1391.9795283828,       -0.4125651596
        0.1000000015,     1680.0000000000,    -1343.7731350902,       -0.3911009126
        0.1000000015,     1690.0000000000,    -1295.9789966325,       -0.3706774495
        0.1000000015,     1700.0000000000,    -1248.5910671132,       -0.3512234510
        0.1000000015,     1710.0000000000,    -1201.6034243938,       -0.3326739419
        0.1000000015,     1720.0000000000,    -1155.0102668553,       -0.3149696020
        0.1000000015,     1730.0000000000,    -1108.8059102618,       -0.2980561638
        0.1000000015,     1740.0000000000,    -1062.9847847229,       -0.2818838863
        0.1000000015,     1750.0000000000,    -1017.5414317532,       -0.2664070933
        0.1000000015,     1760.0000000000,     -972.4705014217,       -0.2515837664
        0.1000000015,     1770.0000000000,     -927.7667495915,       -0.2373751867
        0.1000000015,     1780.0000000000,     -883.4250352444,       -0.2237456171
        0.1000000015,     1790.0000000000,     -839.4403178870,       -0.2106620213
        0.1000000015,     1800.0000000000,     -795.8076550371,       -0.1980938136
        0.1000000015,     1810.0000000000,     -752.5221997863,       -0.1860126356
        0.1000000015,     1820.0000000000,     -709.5791984356,       -0.1743921579
        0.1000000015,     1830.0000000000,     -666.9739882033,       -0.1632079018
        0.1000000015,     1840.0000000000,     -624.7019950003,       -0.1524370796
        0.1000000015,     1850.0000000000,     -582.7587312724,       -0.1420584512
        0.1000000015,     1860.0000000000,     -541.1397939059,       -0.1320521955
        0.1000000015,     1870.0000000000,     -499.8408621954,       -0.1223997936
        0.1000000015,     1880.0000000000,     -458.8576958703,       -0.1130839238
        0.1000000015,     1890.0000000000,     -418.1861331798,       -0.1040883668
        0.1000000015,     1900.0000000000,     -377.8220890321,       -0.0953979194
        0.1000000015,     1910.0000000000,     -337.7615531884,       -0.0869983160
        0.1000000015,     1920.0000000000,     -298.0005885081,       -0.0788761581
        0.1000000015,     1930.0000000000,     -258.5353292440,       -0.0710188489
        0.1000000015,     1940.0000000000,     -219.3619793857,       -0.0634145351
        0.1000000015,     1950.0000000000,     -180.4768110505,       -0.0560520522
        0.1000000015,     1960.0000000000,     -141.8761629187,       -0.0489208756
        0.1000000015,     1970.0000000000,     -103.5564387127,       -0.0420110758
        0.1000000015,     1980.0000000000,      -65.5141057191,       -0.0353132765
        0.1000000015,     1990.0000000000,      -27.7456933503,       -0.0288186171
        0.1000000015,     2000.0000000000,        9.7522082527,       -0.0225187176
        0.1000000015,     2010.0000000000,       46.9829495806,       -0.0164056465
        0.1000000015,     2020.0000000000,       83.9498230782,       -0.0104718914
        0.1000000015,     2030.0000000000,      120.6560644315,       -0.0047103320
        0.1000000015,     2040.0000000000,      157.1048538199,        0.0008857858
        0.1000000015,     2050.0000000000,      193.2993171344,        0.0063228723
        0.1000000015,     2060.0000000000,      229.2425271638,        0.0116070159
        0.1000000015,     2070.0000000000,      264.9375047493,        0.0167440032
        0.1000000015,     2080.0000000000,      300.3872199083,        0.0217393369
